@epoch 0, train_loss : 16047.1, dev_loss : 11068.1, train_accuracy : 0.469, dev_accuracy : 0.3896
@epoch 1, train_loss : 24700.3, dev_loss : 14998.6, train_accuracy : 0.475, dev_accuracy : 0.3815
@epoch 2, train_loss : 16776.6, dev_loss : 11763.6, train_accuracy : 0.472, dev_accuracy : 0.3855
@epoch 3, train_loss : 12980.1, dev_loss : 7618.53, train_accuracy : 0.528, dev_accuracy : 0.5382
@epoch 4, train_loss : 14640.4, dev_loss : 6575.04, train_accuracy : 0.522, dev_accuracy : 0.6205
@epoch 5, train_loss : 14925.9, dev_loss : 8248.69, train_accuracy : 0.522, dev_accuracy : 0.6205
@epoch 6, train_loss : 16163.8, dev_loss : 8078.11, train_accuracy : 0.522, dev_accuracy : 0.6205
@epoch 7, train_loss : 13403.9, dev_loss : 6384.66, train_accuracy : 0.522, dev_accuracy : 0.6205
@epoch 8, train_loss : 9109.63, dev_loss : 6771.88, train_accuracy : 0.522, dev_accuracy : 0.6205
@epoch 9, train_loss : 12459.6, dev_loss : 5080.25, train_accuracy : 0.465, dev_accuracy : 0.4116
@epoch 10, train_loss : 10053.7, dev_loss : 7078.72, train_accuracy : 0.468, dev_accuracy : 0.3896
@epoch 11, train_loss : 9032.61, dev_loss : 5650.57, train_accuracy : 0.472, dev_accuracy : 0.3936
@epoch 12, train_loss : 9147.17, dev_loss : 4741.84, train_accuracy : 0.476, dev_accuracy : 0.4157
@epoch 13, train_loss : 6585.74, dev_loss : 4095.51, train_accuracy : 0.522, dev_accuracy : 0.6205
@epoch 14, train_loss : 6390.11, dev_loss : 3646.24, train_accuracy : 0.522, dev_accuracy : 0.6205
@epoch 15, train_loss : 6536.54, dev_loss : 2952.15, train_accuracy : 0.522, dev_accuracy : 0.6205
@epoch 16, train_loss : 5705.5, dev_loss : 3092.77, train_accuracy : 0.522, dev_accuracy : 0.6205
@epoch 17, train_loss : 4358.21, dev_loss : 2537.57, train_accuracy : 0.527, dev_accuracy : 0.6245
@epoch 18, train_loss : 4860.05, dev_loss : 2624.83, train_accuracy : 0.504, dev_accuracy : 0.4297
@epoch 19, train_loss : 3866.95, dev_loss : 2433.15, train_accuracy : 0.511, dev_accuracy : 0.4357
@epoch 20, train_loss : 3456.44, dev_loss : 2086.2, train_accuracy : 0.577, dev_accuracy : 0.6365
@epoch 21, train_loss : 4817.29, dev_loss : 1883.86, train_accuracy : 0.524, dev_accuracy : 0.6205
@epoch 22, train_loss : 3616.58, dev_loss : 1714.14, train_accuracy : 0.524, dev_accuracy : 0.6205
@epoch 23, train_loss : 2728.04, dev_loss : 1526.17, train_accuracy : 0.527, dev_accuracy : 0.6225
@epoch 24, train_loss : 2628.38, dev_loss : 1456.96, train_accuracy : 0.575, dev_accuracy : 0.508
@epoch 25, train_loss : 3034.96, dev_loss : 1452.15, train_accuracy : 0.547, dev_accuracy : 0.4759
@epoch 26, train_loss : 2550.71, dev_loss : 1347.46, train_accuracy : 0.627, dev_accuracy : 0.6566
@epoch 27, train_loss : 2470.17, dev_loss : 1254.86, train_accuracy : 0.548, dev_accuracy : 0.6305
@epoch 28, train_loss : 2554.95, dev_loss : 1194.45, train_accuracy : 0.55, dev_accuracy : 0.6305
@epoch 29, train_loss : 1907.34, dev_loss : 1429.66, train_accuracy : 0.668, dev_accuracy : 0.6406
@epoch 30, train_loss : 1908.32, dev_loss : 1087.79, train_accuracy : 0.587, dev_accuracy : 0.49
@epoch 31, train_loss : 2082.26, dev_loss : 1148.98, train_accuracy : 0.695, dev_accuracy : 0.5984
@epoch 32, train_loss : 1743.76, dev_loss : 1084.23, train_accuracy : 0.579, dev_accuracy : 0.6466
@epoch 33, train_loss : 1847.84, dev_loss : 1081.51, train_accuracy : 0.587, dev_accuracy : 0.6486
@epoch 34, train_loss : 1920.46, dev_loss : 1113.46, train_accuracy : 0.717, dev_accuracy : 0.6426
@epoch 35, train_loss : 2236.66, dev_loss : 1352.26, train_accuracy : 0.572, dev_accuracy : 0.4498
@epoch 36, train_loss : 1637.77, dev_loss : 897.782, train_accuracy : 0.671, dev_accuracy : 0.5502
@epoch 37, train_loss : 1749.05, dev_loss : 958.077, train_accuracy : 0.676, dev_accuracy : 0.6747
@epoch 38, train_loss : 1651.78, dev_loss : 812.187, train_accuracy : 0.629, dev_accuracy : 0.6546
@epoch 39, train_loss : 1504.51, dev_loss : 801.893, train_accuracy : 0.689, dev_accuracy : 0.6787
@epoch 40, train_loss : 1398.43, dev_loss : 913.76, train_accuracy : 0.582, dev_accuracy : 0.4639
@epoch 41, train_loss : 1606.05, dev_loss : 669.272, train_accuracy : 0.662, dev_accuracy : 0.6546
@epoch 42, train_loss : 1546.49, dev_loss : 737.016, train_accuracy : 0.616, dev_accuracy : 0.6466
@epoch 43, train_loss : 1181.54, dev_loss : 706.867, train_accuracy : 0.688, dev_accuracy : 0.5582
@epoch 44, train_loss : 1166.06, dev_loss : 654.308, train_accuracy : 0.715, dev_accuracy : 0.5884
@epoch 45, train_loss : 1399.49, dev_loss : 652.043, train_accuracy : 0.618, dev_accuracy : 0.6506
@epoch 46, train_loss : 1085.79, dev_loss : 694.094, train_accuracy : 0.722, dev_accuracy : 0.6867
@epoch 47, train_loss : 1359.93, dev_loss : 772.604, train_accuracy : 0.571, dev_accuracy : 0.4518
@epoch 48, train_loss : 1153.91, dev_loss : 616.862, train_accuracy : 0.69, dev_accuracy : 0.6647
@epoch 49, train_loss : 1093.31, dev_loss : 645.869, train_accuracy : 0.658, dev_accuracy : 0.6627
